itm_no_item|INVALID ITEM 
itm_yc_spell_thunder_seal|惊 雷 印
itm_yc_spell_thunder_seal_pl|惊 雷 印
itm_yc_imperial_helmet|皇 庭 将 盔
itm_yc_imperial_helmet_pl|皇 庭 将 盔
itm_yc_mengmeizi_armor|灵 秀 女 将 甲
itm_yc_mengmeizi_armor_pl|灵 秀 女 将 甲
itm_yc_white_lion_mount|南 荒 白 狮 灵 骑
itm_yc_white_lion_mount_pl|南 荒 白 狮 灵 骑
itm_yc_zhaoyun_armor|云 川 飞 将 甲
itm_yc_zhaoyun_armor_pl|云 川 飞 将 甲
itm_yc_xiling_dan|洗 灵 丹
itm_yc_xiling_dan_pl|洗 灵 丹
itm_yc_bigu_wan|辟 谷 丸
itm_yc_bigu_wan_pl|辟 谷 丸
itm_yc_ganliang|干 粮
itm_yc_ganliang_pl|干 粮
itm_yc_lingcha|灵 茶
itm_yc_lingcha_pl|灵 茶
itm_yc_linggu|灵 谷
itm_yc_linggu_pl|灵 谷
itm_yc_lingguo|灵 果
itm_yc_lingguo_pl|灵 果
itm_yc_lingmai_bing|灵 麦 饼
itm_yc_lingmai_bing_pl|灵 麦 饼
itm_yc_lingmi|灵 米
itm_yc_lingmi_honey|灵 蜜
itm_yc_lingmi_honey_pl|灵 蜜
itm_yc_lingmi_pl|灵 米
itm_yc_shanquan_shui|山 泉 水
itm_yc_shanquan_shui_pl|山 泉 水
itm_yc_yaoshan|药 膳
itm_yc_yaoshan_pl|药 膳
itm_yc_yaoshou_jingrou|妖 兽 精 肉
itm_yc_yaoshou_jingrou_pl|妖 兽 精 肉
itm_yc_yaoshou_rou|妖 兽 肉
itm_yc_yaoshou_rou_pl|妖 兽 肉
itm_yc_fapao_qing|青 云 法 袍
itm_yc_fapao_qing_pl|青 云 法 袍
itm_yc_fapao_qing2|青 云 真 传 法 袍
itm_yc_fapao_qing2_pl|青 云 真 传 法 袍
itm_yc_fapao_hei|玄 冥 法 袍
itm_yc_fapao_hei_pl|玄 冥 法 袍
itm_yc_fapao_hei2|天 魔 法 袍
itm_yc_fapao_hei2_pl|天 魔 法 袍
itm_yc_fapao_lv|丹 青 法 袍
itm_yc_fapao_lv_pl|丹 青 法 袍
itm_yc_fapao_bai|素 雪 法 袍
itm_yc_fapao_bai_pl|素 雪 法 袍
itm_yc_fapao_zi|紫 霄 法 袍
itm_yc_fapao_zi_pl|紫 霄 法 袍
itm_yc_daopao_ai_qingyu|青 玉 灵 纹 道 袍
itm_yc_daopao_ai_qingyu_pl|青 玉 灵 纹 道 袍
itm_yc_daopao_ai_xingzi|星 紫 符 纹 道 袍
itm_yc_daopao_ai_xingzi_pl|星 紫 符 纹 道 袍
itm_yc_daopao_ai_xuanjin|玄 金 星 纹 道 袍
itm_yc_daopao_ai_xuanjin_pl|玄 金 星 纹 道 袍
itm_yc_daopao_ai_yuebai|月 白 云 纹 道 袍
itm_yc_daopao_ai_yuebai_pl|月 白 云 纹 道 袍
itm_yc_shield_01_wooden_round|木 胎 灵 纹 圆 盾
itm_yc_shield_01_wooden_round_pl|木 胎 灵 纹 圆 盾
itm_yc_shield_02_nordic_round|北 玄 符 纹 圆 盾
itm_yc_shield_02_nordic_round_pl|北 玄 符 纹 圆 盾
itm_yc_shield_03_hide_round|兽 皮 护 身 圆 盾
itm_yc_shield_03_hide_round_pl|兽 皮 护 身 圆 盾
itm_yc_shield_04_leather_round|革 面 聚 灵 圆 盾
itm_yc_shield_04_leather_round_pl|革 面 聚 灵 圆 盾
itm_yc_shield_05_plate_round|镶 铁 镇 灵 圆 盾
itm_yc_shield_05_plate_round_pl|镶 铁 镇 灵 圆 盾
itm_yc_shield_06_fur_kite|兽 纹 长 护 盾
itm_yc_shield_06_fur_kite_pl|兽 纹 长 护 盾
itm_yc_shield_07_heater|符 纹 骑 盾
itm_yc_shield_07_heater_pl|符 纹 骑 盾
itm_yc_shield_08_tableau_old_round|旧 式 法 纹 圆 盾
itm_yc_shield_08_tableau_old_round_pl|旧 式 法 纹 圆 盾
itm_yc_shield_09_tableau_plain_round|素 面 法 纹 圆 盾
itm_yc_shield_09_tableau_plain_round_pl|素 面 法 纹 圆 盾
itm_yc_shield_10_tableau_pavise|符 阵 大 盾
itm_yc_shield_10_tableau_pavise_pl|符 阵 大 盾
itm_yc_arrow_chiyan_fujian|赤 焰 符 箭
itm_yc_arrow_chiyan_fujian_pl|赤 焰 符 箭
itm_yc_arrow_lianxi_fujian|练 习 符 箭
itm_yc_arrow_lianxi_fujian_pl|练 习 符 箭
itm_yc_arrow_lingwen_jian|灵 纹 箭
itm_yc_arrow_lingwen_jian_pl|灵 纹 箭
itm_yc_arrow_pojia_jian|破 甲 箭
itm_yc_arrow_pojia_jian_pl|破 甲 箭
itm_yc_arrow_zhuyu_jian|竹 羽 灵 箭
itm_yc_arrow_zhuyu_jian_pl|竹 羽 灵 箭
itm_yc_bolt_jiguan_nushi|机 关 弩 矢
itm_yc_bolt_jiguan_nushi_pl|机 关 弩 矢
itm_yc_bolt_puling_nushi|破 灵 弩 矢
itm_yc_bolt_puling_nushi_pl|破 灵 弩 矢
itm_yc_bolt_xuantie_nushi|玄 铁 弩 矢
itm_yc_bolt_xuantie_nushi_pl|玄 铁 弩 矢
itm_yc_boots_ankle|行 脚 短 靴
itm_yc_boots_ankle_pl|行 脚 短 靴
itm_yc_boots_black_greaves|玄 铁 护 胫
itm_yc_boots_black_greaves_pl|玄 铁 护 胫
itm_yc_boots_blue_hose|蓝 布 长 袜
itm_yc_boots_blue_hose_pl|蓝 布 长 袜
itm_yc_boots_bride_shoes|绣 纹 礼 鞋
itm_yc_boots_bride_shoes_pl|绣 纹 礼 鞋
itm_yc_boots_hide|兽 皮 靴
itm_yc_boots_hide_pl|兽 皮 靴
itm_yc_boots_hunter|猎 户 短 靴
itm_yc_boots_hunter_pl|猎 户 短 靴
itm_yc_boots_iron_greaves|铁 护 胫
itm_yc_boots_iron_greaves_pl|铁 护 胫
itm_yc_boots_khergit_leather|北 玄 皮 靴
itm_yc_boots_khergit_leather_pl|北 玄 皮 靴
itm_yc_boots_lamellar|札 甲 战 靴
itm_yc_boots_lamellar_pl|札 甲 战 靴
itm_yc_boots_leather|皮 制 战 靴
itm_yc_boots_leather_greaves|皮 面 护 胫
itm_yc_boots_leather_greaves_pl|皮 面 护 胫
itm_yc_boots_leather_pl|皮 制 战 靴
itm_yc_boots_light_leather|轻 皮 战 靴
itm_yc_boots_light_leather_pl|轻 皮 战 靴
itm_yc_boots_mail|锁 甲 战 靴
itm_yc_boots_mail_chausses|锁 甲 护 胫
itm_yc_boots_mail_chausses_pl|锁 甲 护 胫
itm_yc_boots_mail_pl|锁 甲 战 靴
itm_yc_boots_nomad|游 牧 战 靴
itm_yc_boots_nomad_alt|游 牧 战 靴 二 式
itm_yc_boots_nomad_alt_pl|游 牧 战 靴 二 式
itm_yc_boots_nomad_pl|游 牧 战 靴
itm_yc_boots_plate|板 甲 战 靴
itm_yc_boots_plate_pl|板 甲 战 靴
itm_yc_boots_samurai|东 海 战 靴
itm_yc_boots_samurai_pl|东 海 战 靴
itm_yc_boots_sarranid|沙 洲 皮 靴
itm_yc_boots_sarranid_camel|沙 洲 镶 甲 靴
itm_yc_boots_sarranid_camel_pl|沙 洲 镶 甲 靴
itm_yc_boots_sarranid_mail|沙 洲 锁 甲 靴
itm_yc_boots_sarranid_mail_pl|沙 洲 锁 甲 靴
itm_yc_boots_sarranid_pl|沙 洲 皮 靴
itm_yc_boots_sarranid_shoes|沙 洲 软 鞋
itm_yc_boots_sarranid_shoes_pl|沙 洲 软 鞋
itm_yc_boots_splinted_greaves|镶 板 护 胫
itm_yc_boots_splinted_greaves_pl|镶 板 护 胫
itm_yc_boots_woolen_hose|粗 布 长 袜
itm_yc_boots_woolen_hose_pl|粗 布 长 袜
itm_yc_boots_wrapping|缠 布 短 靴
itm_yc_boots_wrapping_pl|缠 布 短 靴
itm_yc_bow_chiyu_linggong|赤 羽 灵 弓
itm_yc_bow_chiyu_linggong_pl|赤 羽 灵 弓
itm_yc_bow_dongfang_fugong|东 方 符 弓
itm_yc_bow_dongfang_fugong_pl|东 方 符 弓
itm_yc_bow_leiwen_fagong|雷 纹 法 弓
itm_yc_bow_leiwen_fagong_pl|雷 纹 法 弓
itm_yc_bow_qingmu_changgong|青 木 长 弓
itm_yc_bow_qingmu_changgong_pl|青 木 长 弓
itm_yc_bow_xuantie_qianggong|玄 铁 强 弓
itm_yc_bow_xuantie_qianggong_pl|玄 铁 强 弓
itm_yc_bow_yaojin_zhangong|耀 金 战 弓
itm_yc_bow_yaojin_zhangong_pl|耀 金 战 弓
itm_yc_bow_zhumu_duangong|竹 木 短 弓
itm_yc_bow_zhumu_duangong_pl|竹 木 短 弓
itm_yc_bow_zhumu_liegong|竹 木 猎 弓
itm_yc_bow_zhumu_liegong_pl|竹 木 猎 弓
itm_yc_crossbow_jiguannu|机 关 连 弩
itm_yc_crossbow_jiguannu_pl|机 关 连 弩
itm_yc_crossbow_leihuo_funu|雷 火 符 弩
itm_yc_crossbow_leihuo_funu_pl|雷 火 符 弩
itm_yc_crossbow_puling_funu|破 灵 符 弩
itm_yc_crossbow_puling_funu_pl|破 灵 符 弩
itm_yc_crossbow_qingjinu|轻 机 弩
itm_yc_crossbow_qingjinu_pl|轻 机 弩
itm_yc_crossbow_xuantie_zhongnu|玄 铁 重 弩
itm_yc_crossbow_xuantie_zhongnu_pl|玄 铁 重 弩
itm_yc_crossbow_zhenmo_zhongnu|镇 魔 重 弩
itm_yc_crossbow_zhenmo_zhongnu_pl|镇 魔 重 弩
itm_yc_gloves_gauntlets|重 型 铁 护 手
itm_yc_gloves_gauntlets_pl|重 型 铁 护 手
itm_yc_gloves_leather|皮 制 手 套
itm_yc_gloves_leather_pl|皮 制 手 套
itm_yc_gloves_mail_mittens|锁 甲 护 手
itm_yc_gloves_mail_mittens_pl|锁 甲 护 手
itm_yc_gloves_scale_a|鳞 甲 护 手 甲 式
itm_yc_gloves_scale_a_pl|鳞 甲 护 手 甲 式
itm_yc_gloves_scale_b|鳞 甲 护 手 乙 式
itm_yc_gloves_scale_b_pl|鳞 甲 护 手 乙 式
